"Subject","Start date","description","Start time"
"Rohkost/Gemueseteller","14.08.22","","7:00"
"Apfel und Mehrkornerbrei","15.08.22","","7:00"
"Kasebrotchen","16.08.22","","7:00"
"Brot mit Kaese","17.08.22","","7:00"
"Fischfruestueck","18.08.22","","7:00"
"Apfel und Griesbrei","19.08.22","","7:00"
"Fischfruestueck","20.08.22","","7:00"
"Tartiflette","14.08.22","","13:00"
"Vegi-Quiche","15.08.22","","13:00"
"Pikante Buchweizenpalatschinken","16.08.22","","13:00"
"Zoodles mit Pilzsosse vegi","17.08.22","Schwammerl kleinschneiden und anbraten in Butter oder Olivenöl, und zu einer Soße machen. Zucchininudeln kurz in Wasser duensten. Servieren","13:00"
"Buchweizenpalatschinken gefüllt mit schinken","18.08.22","300 ml Milch,150 g Buchweizenmehl (gemahlen),1 Ei,etwas Salz,Für die Fülle Käse und Schinken, etc","13:00"
"Risotto","19.08.22","","13:00"
"Fisch divers","20.08.22","ala Buch","13:00"
"Kaeferbohnensalat","14.08.22","","17:00"
"Zucchini-Lachs-Ricotta Rullchen","15.08.22","","17:00"
"Salat mit Huehnerstreifen","16.08.22","Mischsalat mit Huehnerstreifen oder Putenstreifen","17:00"
"Pellkartoffel mit Topfen","17.08.22","","17:00"
"Zoodles mit Pilzsosse vegi","18.08.22","Schwammerl kleinschneiden und anbraten in Butter oder Olivenöl, und zu einer Soße machen. Zucchininudeln kurz in Wasser duensten. Servieren","17:00"
"Pollenta mit Pilzsoue","19.08.22","https://biancazapatka.com/de/cremige-vegane-polenta-mit-pilzen-und-spinat/","17:00"
"Gemusebrotchen","20.08.22","","17:00"
