"","Titel","Morgen","Abend","Mittag","Fleisch","Fisch"
"1","23er Griespudding mit Rhabarber Kompott",FALSE,TRUE,FALSE,FALSE,FALSE
"2","Brot mit Kuse",FALSE,TRUE,FALSE,FALSE,FALSE
"3","Pellkartoffel mit topfen",FALSE,TRUE,FALSE,FALSE,FALSE
"4","knaeckebrot mit irgendwas",FALSE,TRUE,FALSE,FALSE,FALSE
"5","Kaeferbohnensalat",FALSE,TRUE,FALSE,FALSE,FALSE
"6","Eierspeis mit knaeckebrot",FALSE,TRUE,FALSE,FALSE,FALSE
"7","Pollenta mit Pilzsoue",FALSE,TRUE,FALSE,FALSE,FALSE
"8","Raeucherfisch",FALSE,TRUE,FALSE,FALSE,FALSE
"9","Zucchini-Lachs-Ricotta Rullchen",FALSE,TRUE,FALSE,FALSE,FALSE
"10","Apfel und Hirsebrei",TRUE,FALSE,FALSE,FALSE,FALSE
"11","Apfel und Griesbrei",TRUE,FALSE,FALSE,FALSE,FALSE
"12","Apfel und Mehrkornerbrei",TRUE,FALSE,FALSE,FALSE,FALSE
"13","Apfel und Haferbrei",TRUE,FALSE,FALSE,FALSE,FALSE
"14","Fruchtmixshake-SChlemmerfruhstuck",TRUE,FALSE,FALSE,FALSE,FALSE
"15","Obstteller",TRUE,FALSE,FALSE,FALSE,FALSE
"16","Gemusebrotchen",TRUE,FALSE,FALSE,FALSE,FALSE
"17","Kasebrotchen",TRUE,FALSE,FALSE,FALSE,FALSE
"18","Fischfruestueck",TRUE,FALSE,FALSE,FALSE,FALSE
"19","Dorade fisch",FALSE,FALSE,TRUE,FALSE,TRUE
"20","Nudeln mit spinat und lachs",FALSE,FALSE,TRUE,FALSE,TRUE
"21","Wels mit kartoffel",FALSE,FALSE,TRUE,FALSE,TRUE
"22","Fisch divers",FALSE,FALSE,TRUE,FALSE,TRUE
"23","Fisch divers",FALSE,FALSE,TRUE,FALSE,TRUE
"24","Fisch divers",FALSE,FALSE,TRUE,FALSE,TRUE
"25","Fisch divers",FALSE,FALSE,TRUE,FALSE,TRUE
"26","Fisch divers",FALSE,FALSE,TRUE,FALSE,TRUE
"27","Mexikanische blutterteigtaschen",FALSE,FALSE,TRUE,TRUE,FALSE
"28","Cottage Pie",FALSE,FALSE,TRUE,TRUE,FALSE
"29","Civapcici",FALSE,FALSE,TRUE,TRUE,FALSE
"30","Fleisch-Quiche",FALSE,FALSE,TRUE,TRUE,FALSE
"31","tafelspitz / schulter",FALSE,FALSE,TRUE,TRUE,FALSE
"32","GALLO pinto",FALSE,FALSE,TRUE,TRUE,FALSE
"33","Sis yogurtlu lamm",FALSE,FALSE,TRUE,TRUE,FALSE
"34","gefullter schweinebauch",FALSE,FALSE,TRUE,TRUE,FALSE
"35","Burger alto adige",FALSE,FALSE,TRUE,TRUE,FALSE
"36","Lasagne",FALSE,FALSE,TRUE,TRUE,FALSE
"37","salat mit huhnerstreifen",FALSE,FALSE,TRUE,TRUE,FALSE
"38","Ritschert",FALSE,FALSE,TRUE,TRUE,FALSE
"39","Mexikanische blutterteigtaschen",FALSE,FALSE,TRUE,TRUE,FALSE
"40","Pulled stgh, zb. Pork oder Truthahn",FALSE,FALSE,TRUE,TRUE,FALSE
"41","verschierter braten mit sellerie",FALSE,FALSE,TRUE,TRUE,FALSE
"42","Wok mit Fleisch",FALSE,FALSE,TRUE,TRUE,FALSE
"43","Fleisch divers",FALSE,FALSE,TRUE,TRUE,FALSE
"44","Portobello pilz lawalan",FALSE,FALSE,TRUE,FALSE,FALSE
"45","spinat kartoffel frittata",FALSE,FALSE,TRUE,FALSE,FALSE
"46","Vegi-Quiche",FALSE,FALSE,TRUE,FALSE,FALSE
"47","Knodel mit Linsen",FALSE,FALSE,TRUE,FALSE,FALSE
"48","Spinatknudel mit porree und sellerie",FALSE,FALSE,TRUE,FALSE,FALSE
"49","Kartoffel Spinat Siegelei",FALSE,FALSE,TRUE,FALSE,FALSE
"50","Salbeinudeln",FALSE,FALSE,TRUE,FALSE,FALSE
"51","Spinat oder Gemuese Lasagne",FALSE,FALSE,TRUE,FALSE,FALSE
"52","cacio e pepe",FALSE,FALSE,TRUE,FALSE,FALSE
"53","Gnocchi Gemuse Pfanne",FALSE,FALSE,TRUE,FALSE,FALSE
"54","Zucchini nudeln",FALSE,FALSE,TRUE,FALSE,FALSE
"55","Tartiflette",FALSE,FALSE,TRUE,FALSE,FALSE
"56","Gemuse mit reis",FALSE,FALSE,TRUE,FALSE,FALSE
"57","ratatui mit reis, oder erdaepfel",FALSE,FALSE,TRUE,FALSE,FALSE
"58","Kartoffel-Gemuse-Puffer vom Tischgrill",FALSE,FALSE,TRUE,FALSE,FALSE
"59","Risotto",FALSE,FALSE,TRUE,FALSE,FALSE
"60","Griechische Pizza, Buchweizenteig",FALSE,FALSE,TRUE,FALSE,FALSE
"61","Bohnen mit reis(asia)",FALSE,FALSE,TRUE,FALSE,FALSE
"62","Wurziger Kartoffel kase kuchen",FALSE,FALSE,TRUE,FALSE,FALSE
"63","Pikante Buchweizenpalatschinken",FALSE,FALSE,TRUE,FALSE,FALSE
"64","Karfiol-Omlett mit topfen und oder sauerrahm",FALSE,FALSE,TRUE,FALSE,FALSE
"65","20er Laibchen mit Kurbis",FALSE,FALSE,TRUE,FALSE,FALSE
"66","Kartoffelpuffer mit Sellerie und burlacuh",FALSE,FALSE,TRUE,FALSE,FALSE
"67","vegi-chilli",FALSE,FALSE,TRUE,FALSE,FALSE
"68","Pellkartoffeln mit Topfen & Schnittlauch oder barlauch",FALSE,FALSE,TRUE,FALSE,FALSE
"69","Grune Soue mit Kartoffeln und ei und Spargel",FALSE,FALSE,TRUE,FALSE,FALSE
"70","Mais mit Bohnen (sudami)",FALSE,FALSE,TRUE,FALSE,FALSE
"71","Gerste mit Bohnen (eu)",FALSE,FALSE,TRUE,FALSE,FALSE
"72","Vegi-Wok",FALSE,FALSE,TRUE,FALSE,FALSE
"73","rindssuppe",FALSE,FALSE,FALSE,FALSE,FALSE
"74","huhnersuppe",FALSE,FALSE,FALSE,FALSE,FALSE
"75","Schlutzkrapferlsuppe",FALSE,FALSE,FALSE,FALSE,FALSE
"76","2er Suppe",FALSE,FALSE,FALSE,FALSE,FALSE
"77","haferschleimsuppe",FALSE,FALSE,FALSE,FALSE,FALSE
"78","Gemuesesuppe",FALSE,FALSE,FALSE,FALSE,FALSE
"79","griesnockerlsuppe",FALSE,FALSE,FALSE,FALSE,FALSE
"80","salat",FALSE,FALSE,FALSE,FALSE,FALSE
"81","suppe",FALSE,FALSE,FALSE,FALSE,FALSE
"82","rohkost",FALSE,FALSE,FALSE,FALSE,FALSE
